SN_name,redshift,x1_stretch,distance_modulus,mu_error,H0
2012cg,0.00256,0.49196,30.7233,0.782372,55.00480992144146
2012cg,0.00256,0.71261,30.7449,0.799068,54.46038011461427
2013aa,0.00331,0.51292,30.4604,0.594683,80.27285264335858
2013aa,0.00331,0.63346,30.5528,0.580251,76.9287537151341
2017cbv,0.00331,0.61655,30.4013,0.578445,82.48760547704518
2017cbv,0.00331,0.81895,30.5107,0.578546,78.43478252116044
1990N,0.00359,0.62892,31.6969,0.550993,49.2646216192689
2013dy,0.00432,0.87178,31.499,0.514259,64.93882851170437
2013dy,0.00432,1.17027,31.5611,0.530838,63.108004778099
2012fr,0.00483,1.49515,31.1331,0.446882,85.93059791607068
2012fr,0.00483,1.1575,31.2234,0.410577,82.4304809287195
2007sr,0.00571,0.10543,31.6799,0.375913,78.97266814137568
2007sr,0.00571,0.056985,31.6292,0.385756,80.83823285838234
1994ae,0.00588,0.43761,32.1822,0.339643,64.52945972892138
2018gv,0.00602,0.39823,31.9404,0.344335,73.84773749523953
2018gv,0.00602,0.59016,32.0666,0.343707,69.67824350967767
2018gv,0.00602,0.12088,31.9102,0.350249,74.88195842296135
2007le,0.0063,0.20586,32.0754,0.533991,72.62418176867591
2007le,0.0063,0.23463,32.0843,0.537335,72.32713334822311
2007le,0.0063,0.27267,32.0203,0.538159,74.49056226165249
1998dm,0.00631,0.56097,32.8333,0.562902,51.308587885626714
2019np,0.00648,0.11525,32.4608,0.318474,62.551209082553314
2019np,0.00648,0.11384,32.4338,0.32229,63.33382369944614
1997br,0.00665,0.33528,31.7321,0.531169,89.78883738926687
1995al,0.00673,1.20311,32.3593,0.359446,68.07313740522088
2017erp,0.00677,0.26056,32.1951,0.34053,73.85661031447235
2017erp,0.00677,0.47218,32.1729,0.371125,74.61555464626456
2017erp,0.00677,0.35115,32.2048,0.34795,73.52742750208535
2002fk,0.00719,0.093397,32.4423,0.300309,69.99863856549851
2002fk,0.00719,0.062106,32.4642,0.300269,69.2962276804435
2003du,0.00747,0.25827,32.7943,0.289134,61.841683640525645
2003du,0.00747,0.23579,32.7423,0.294759,63.34047337437063
2003du,0.00747,0.24375,32.7685,0.292411,62.580827970168436
2003kf,0.00795,0.52479,32.6418,0.362719,70.60376025751452
2009ig,0.00815,1.2958,32.3711,0.371926,81.98951391814099
2009ig,0.00815,1.07171,32.7434,0.280148,69.07140841484116
2009ig,0.00815,1.24376,32.6707,0.286975,71.4230367787867
1995D,0.00818,0.72785,32.484,0.342662,78.12211754891659
1999cp,0.00954,0.023621,33.0399,0.268981,70.53246753439635
1999cp,0.00954,0.28727,33.2135,0.253629,65.11320573922823
2002dj,0.00957,0.071339,32.8654,0.334488,76.67479803512273
1998es,0.00966,1.23442,32.8029,0.35789,79.65587807024585
1998es,0.00966,1.62734,32.9165,0.372831,75.59582819581512
PTF10icb,0.00993,0.64439,33.4753,0.372879,60.077237071543905
2009Y,0.00996,0.26874,32.7458,0.360296,84.3179504352016
2009Y,0.00996,0.35708,32.9015,0.334006,78.48380342616214
2013E,0.01016,0.35982,32.7794,0.348547,84.69044422648003
1999ac,0.01017,0.11098,32.9182,0.365223,79.5246297592658
1999ac,0.01017,0.16103,32.9674,0.341878,77.74306451158272
2021hpr,0.01044,0.24592,33.0869,0.343916,75.53377697233267
1997do,0.01073,0.39341,33.1081,0.364668,76.87770763098405
2008fv_comb,0.01079,0.73924,33.1809,0.377969,74.7587700442859
2011ao,0.01195,0.41451,33.4974,0.301502,71.56630718106432
2001cz,0.01213,0.12432,33.8783,0.346381,60.95670787903172
1999dq,0.01312,0.82043,33.52,0.273536,77.75969311942681
1999dq,0.01312,0.86663,33.4717,0.261601,79.50867900956291
1999dk,0.01389,0.54421,33.8053,0.288803,72.18765742399523
ASASSN-16dn,0.01411,0.47579,33.8206,0.250873,72.81615065053705
ASASSN-16la,0.01424,0.83157,33.8444,0.265489,72.68598702474468
2007ca,0.01442,0.72372,34.3366,0.370715,58.676738146524116
2007ca,0.01442,0.56794,34.1781,0.396908,63.119850752831276
2007ca,0.01442,0.54711,34.252,0.397235,61.007884160943725
2001fe,0.01467,0.7426,33.8916,0.240694,73.27078032897585
2011df,0.01493,0.20649,33.8524,0.277558,75.92774654210547
SN2017jl,0.01525,0.60274,33.7706,0.30219,80.53238231429486
ASASSN-16ad,0.01529,0.10511,34.0334,0.344305,71.53987687121666
iPTF16auf,0.01543,0.046602,34.0744,0.314862,70.84457984553165
2008bc,0.01546,0.57382,34.0331,0.226465,72.34527844531483
2001V,0.01557,0.91446,33.7902,0.290577,81.483432513521
2001V,0.01557,0.86688,33.8072,0.290395,80.84800644146775
2008eo,0.01565,1.06352,34.3317,0.278713,63.825620380801595
2001bf,0.01581,0.88145,33.9926,0.239289,75.37591078448574
2001bf,0.01581,0.53614,33.9004,0.218994,78.64526367926007
1994S,0.01588,0.30392,34.0287,0.224824,74.46140061561869
1999aa,0.0159,1.57087,34.1663,0.242893,69.97740402005392
1999aa,0.0159,1.17396,34.1323,0.209471,71.08170349317857
2002cs,0.0159,0.52807,34.0329,0.272511,74.41111757937894
iPTF14bdn,0.01603,1.26874,34.1062,0.281582,72.52942346585775
2013fw,0.01656,0.55558,34.1608,0.218117,73.06695945651254
2007fs,0.01666,0.51566,34.3408,0.198023,67.66057745615632
SN2016gfr,0.01671,0.12662,33.8985,0.245383,83.19498596660279
2007A,0.01682,0.56889,34.4649,0.358327,64.51589024127267
2007A,0.01682,0.39336,34.5341,0.341619,62.492326681103314
1996bv,0.01699,0.70324,34.0755,0.297815,77.96758488934331
2006ax,0.01747,0.28118,34.3228,0.200241,71.54076962452001
2006ax,0.01747,0.16897,34.3133,0.19782,71.85443981229336
2009le,0.01784,0.91638,34.2939,0.246602,74.0347395613632
PS15coh,0.01839,1.34214,34.4393,0.226901,71.37439371200531
2011fs,0.01875,1.18664,34.5466,0.215514,69.26310792298551
2011fs,0.01875,0.22883,34.4866,0.321023,71.20360380372183
ASASSN-16cs,0.01905,0.28962,34.4286,0.281407,74.30117520267133
1992bc,0.02006,0.85559,34.5121,0.199486,75.2890178211698
2009ds,0.02019,1.25453,34.5072,0.233893,75.94811894239719
2009ds,0.02019,0.47147,34.702,0.19246,69.43157577997148
2002jy,0.02024,0.94186,34.9988,0.187715,60.711534664505756
2016hpw,0.02034,0.5668,34.8165,0.241825,66.35469411987266
ATLAS16dqf,0.02034,0.80402,34.5749,0.375822,74.16374491958666
2001dl,0.02049,0.32293,35.1263,0.375783,57.956568170727074
PSNJ1602512,0.02052,0.34806,34.556,0.333904,75.47412023534314
2010A,0.02081,0.48015,34.4863,0.330445,79.03742507784489
2003W,0.02082,0.048591,34.6349,0.254511,73.8450566680664
ASASSN-16lc,0.02096,1.19177,34.6956,0.216494,72.29228985779247
2008Z,0.02118,0.65572,35.118,0.310686,60.1376784610513
2008Z,0.02118,0.98431,35.2056,0.304103,57.75993006178325
2009dc,0.02137,2.23755,34.3468,0.19901,86.54963189068212
2018fop,0.02151,0.64773,34.5899,0.199177,77.88989409054196
ASASSN-15uv,0.02153,0.26468,34.6114,0.393324,77.19421101730127
ASASSN-18da,0.0217,1.18661,34.7709,0.195863,72.29369737296082
2006et,0.02183,0.78862,34.7583,0.283448,73.1500182204852
2006et,0.02183,0.74714,34.7742,0.253646,72.61635383901834
2001cp,0.02198,1.00995,34.9654,0.216973,66.95274556027942
ASASSN-18iu,0.02207,0.56141,34.8847,0.186029,69.7722994585771
2004bg,0.02234,0.19286,34.7727,0.199004,74.3641934056505
2004bg,0.02234,0.58396,34.8704,0.204479,71.09251392212246
2006cp,0.02239,0.32303,34.7714,0.302654,74.57526349290694
2006cp,0.02239,0.042377,34.8603,0.24312,71.583807825421
2000fa,0.0224,0.50832,34.759,0.288719,75.03583526336517
2000fa,0.0224,0.48583,34.7997,0.25527,73.64253354782682
ASASSN-16bn,0.02241,1.46775,35.0392,0.214526,65.98155697984436
ASASSN-17aj,0.02255,0.1408,34.7306,0.243141,76.53273772070075
AT2017cfb,0.02266,0.9422,34.8438,0.220547,72.99962152148666
ASASSN-15il,0.02295,1.24762,34.8584,0.20127,73.43843153081329
2017hoq,0.02303,0.78087,34.985,0.19074,69.52078076593156
PS15cku,0.02325,0.75555,35.0537,0.229702,67.99917758246117
2009al,0.02342,0.26837,34.9851,0.282579,70.69482010235676
2009cz,0.02343,0.73538,34.8582,0.260273,74.98130444155876
2009cz,0.02343,0.70449,34.8582,0.170636,74.98130444155876
ASASSN-15nr,0.02344,1.20679,34.8331,0.263771,75.88541443140649
2004bk,0.02352,0.47024,34.8391,0.21588,75.93430464615427
2018enc,0.02354,1.9832,34.9998,0.217718,70.57764475516124
2007qe,0.02357,0.34568,35.0406,0.206572,69.3522068786685
2007qe,0.02357,0.68284,34.9509,0.259128,72.27702786630897
ATLAS17bas,0.02357,0.80072,34.5715,0.261746,86.07564494395653
ASASSN-16em,0.0239,0.43976,34.994,0.277383,71.84864859445223
2000ca,0.02391,0.52115,34.8993,0.190331,75.08276870995988
PS1-14xw,0.02411,1.22828,35.1049,0.31033,68.87124173579596
2007F,0.02417,0.40579,34.9421,0.208286,74.41789020553507
2007F,0.02417,0.53061,35.084,0.183555,69.71036446209091
AT2016bln,0.02429,1.12918,35.0771,0.195416,70.27942793395168
ASASSN-15sf,0.02432,0.87267,35.2317,0.235205,65.53061948619644
2005bg,0.02434,0.38747,35.0102,0.201948,72.62753040005794
2009D,0.02453,0.6502,35.008,0.162015,73.26866038331701
2009D,0.02453,1.04468,35.0746,0.209952,71.05559020175826
2009D,0.02453,0.42486,34.9493,0.170871,75.27629770237986
PS16ccn,0.02457,0.37785,35.1784,0.189112,67.84937623929206
2008bf,0.02462,0.31545,35.1061,0.235556,70.28922445871642
2008bf,0.02462,0.39564,35.0521,0.231261,72.05908638300404
2008bf,0.02462,0.33607,34.8898,0.233972,77.65130369263362
2004br,0.02464,1.00327,34.807,0.18246,80.73491761111225
2003he,0.02491,0.33862,35.0862,0.240547,71.77189786946695
2001cj,0.02494,0.71544,35.1973,0.228493,68.27428364302472
Gaia16agf,0.02509,1.3638,35.2152,0.268527,68.12105483098314
2011dn,0.02513,0.21601,34.4583,0.333265,96.68368428280057
2007sw,0.02517,0.074801,34.9117,0.306484,78.58939011286077
2018jjd,0.02521,0.70895,34.9842,0.185284,76.12960011820317
PS15ahs,0.02534,0.17315,35.1974,0.185937,69.36610572032507
SN2017hn,0.02557,0.62439,35.0621,0.190177,74.49573869620124
SN2017ms,0.02591,0.43188,35.1181,0.200181,73.5644709312781
2005M,0.02598,1.50783,35.2931,0.179545,68.05183646198806
2005M,0.02598,1.27672,35.1081,0.198242,74.10369263006427
2005M,0.02598,1.55227,34.835,0.348314,84.03493135818245
ASASSN-15uu,0.02632,0.96417,35.0223,0.372346,78.09920047014327
2005ms,0.02669,0.43692,35.308,0.179587,69.4335350153778
1999gp,0.02691,1.66138,35.2688,0.183373,71.28110125383442
1999gp,0.02691,1.38983,35.2892,0.205883,70.61458330436
2013fn,0.0273,0.037964,35.2892,0.298907,71.6379830623942
2002eb,0.02731,0.78251,35.2673,0.172357,72.39063780951963
1992P,0.02736,0.15615,35.313,0.220137,71.01282599374622
2007su,0.0274,0.24547,35.3042,0.352852,71.40543443106655
ASASSN-15fa,0.02741,0.83709,35.5236,0.225337,64.56687071213837
ASASSN-16av,0.02773,0.78114,35.3467,0.289875,70.86480110018135
2011hb,0.0282,0.14953,35.2874,0.292934,74.06104083959914
2005eq,0.02823,1.50904,35.5061,0.163093,67.03653851727998
2005eq,0.02823,1.43934,35.5563,0.160218,65.50456713168454
2005eq,0.02823,1.30814,35.558,0.160985,65.4533050547706
2009ad,0.02844,0.14801,35.372,0.160301,71.83734862239878
2009ad,0.02844,0.1767,35.3421,0.156527,72.83335151236366
2008ar,0.02849,0.19622,35.4368,0.180322,69.84786762909498
SN2017ckx,0.02858,1.97167,35.6596,0.251383,63.23578691987777
1998ab,0.02873,0.22754,34.9487,0.227749,88.18938802860883
2006qo,0.02898,0.38443,35.4779,0.275376,69.71706315183563
1996C,0.02913,0.66261,35.5152,0.250819,68.88444879032247
PS16cvc,0.02915,1.16607,35.6948,0.183345,63.45988226351925
ASASSN-16ay,0.02938,0.97889,35.6222,0.299966,66.13517306813615
LSQ12gdj,0.02947,1.27062,35.0939,0.272694,84.6098331796664
2002de,0.0295,0.32358,35.3638,0.283742,74.79674848414584
ASASSN-16br,0.02956,0.82071,35.5064,0.190895,70.18513387577369
AT2017zd,0.02969,0.19005,35.2781,0.194122,78.30885979381412
ASASSN-16hh,0.02978,0.84206,35.5015,0.190369,70.86721998028356
Gaia16bba,0.0299,0.007502,35.4354,0.185335,73.35198843561119
AT2017lm,0.03031,1.07786,35.5542,0.216273,70.39902417765242
ASASSN-16fo,0.03036,0.62311,35.4803,0.173804,72.9562445040872
ASASSN-16es,0.03047,0.86084,35.5345,0.258248,71.41561116038375
2013fy,0.03075,0.50174,35.3522,0.343157,78.38371139053315
ASASSN-16hr,0.03083,1.05225,35.4648,0.278746,74.61638896090732
1990O,0.03091,0.51757,35.4926,0.166476,73.85836815154002
2001ba,0.03096,0.16331,35.6481,0.206672,68.86549205534516
SNF20080909-030,0.0311,1.09055,35.565,0.183722,71.87553526605289
2008gg,0.03114,1.124,35.67,0.236835,68.57081497582975
2008gg,0.03114,0.83388,35.5409,0.184896,72.77116223929403
AT2017wb,0.03117,1.3617,35.5304,0.283582,73.19434103451876
2006bt,0.03121,0.30314,35.772,0.224228,65.57140231086119
2006bt,0.03121,0.22867,35.7428,0.226764,66.45910243277946
2006bt,0.03121,0.18417,35.7867,0.216659,65.12900923600431
CSS160428,0.03148,0.8256,35.7017,0.164289,68.31489837473309
2008bq,0.03166,0.36029,35.7279,0.17805,67.88152859617587
ASASSN-16oz,0.03192,1.49117,35.4592,0.276064,77.45395263543695
AT2017po,0.03255,0.21503,35.576,0.196814,74.84653435074523
2007ai,0.0326,1.00077,35.8562,0.258808,65.88678298053567
2007ai,0.0326,1.25446,35.8577,0.294619,65.84128571924725
SN2016hpx,0.03282,0.83599,35.6329,0.204026,73.51556166806157
SN2017cii,0.03289,0.33544,35.8381,0.178659,67.02928339523187
2004as,0.03296,0.42134,35.8907,0.225741,65.56437203354788
ASASSN-16bc,0.03298,0.5932,35.6164,0.168015,74.43742722579809
2010ag,0.03335,1.79713,35.8159,0.198961,68.66517657209656
PS15bsq,0.03371,0.51225,35.7797,0.159699,70.57314237030924
2006S,0.03393,0.8864,35.9089,0.177213,66.93057600687197
2011dl,0.03403,0.59667,35.7587,0.312966,71.93539820489755
2006gr,0.03428,0.81322,35.9188,0.207416,67.31339827226844
2006gr,0.03428,0.80323,35.9378,0.211316,66.72698716613516
ATLAS17ajs,0.03451,1.82151,35.9757,0.358083,66.01242122223385
ASASSN-15jl,0.03512,0.22915,35.8816,0.169326,70.15444773619338
2005eu,0.03516,0.098192,35.8012,0.48333,72.88355861005762
2005eu,0.03516,0.85504,35.8038,0.482057,72.79634412365732
ASASSN-15tg,0.03529,1.54158,35.861,0.1686,71.16596804584692
ASASSN-15mi,0.03585,0.49532,35.5515,0.204326,83.37001179340876
ASASSN-15ss,0.03599,0.79388,35.9909,0.187185,68.36322616956043
2001ck,0.03616,0.012403,35.8586,0.223482,73.00105301795345
PS15bbn,0.03624,1.50732,36.1845,0.187245,62.96640405830354
2008hj,0.03682,0.18381,35.9282,0.1566,71.98872587848554
2008ei,0.03702,0.080205,36.08,0.336812,67.49274898416246
2002hu,0.03705,0.52295,35.9637,0.166565,71.26378994512673
2001eh,0.03725,1.78553,36.0067,0.135213,70.24363539815252
2001eh,0.03725,1.71263,35.9927,0.149174,70.69797589877739
ASASSN-15bc,0.03753,0.56778,35.949,0.262609,72.67738077348496
2008gb,0.03796,0.035543,36.0889,0.198876,68.9234338951486
2008fr,0.03828,0.49771,36.1141,0.236153,68.70251443360782
SN2017ciy,0.03834,1.4631,36.5177,0.245806,57.13902315892331
2009bv,0.03848,0.46163,36.2564,0.149974,64.68085711359446
2008051,0.03873,0.71931,36.0125,0.17035,72.83970863539263
2010dw,0.03902,0.19176,36.0125,0.204712,73.38511311523418
ASASSN-15pn,0.03909,0.38124,36.1962,0.220822,67.5532695223291
1999aw,0.0391,2.26683,36.2125,0.18352,67.06523648361154
2003fa,0.04056,1.18712,36.0167,0.143473,76.13400026064281
2003fa,0.04056,1.50968,36.0818,0.14498,73.88540347230419
SN2016glz,0.04077,1.11871,35.9918,0.210464,77.41077481303294
SN2017coa,0.04095,0.71195,36.4104,0.307187,64.12016171845836
2001az,0.04101,1.11507,36.3153,0.150794,67.08886926520543
2014bj,0.04258,0.80842,36.5106,0.426487,63.66582336804839
2006cz,0.04268,1.55722,35.9138,0.29449,84.00112716890699
2007kk,0.04285,0.94211,36.2521,0.175538,72.1691398516594
2007kk,0.04285,0.93536,36.2071,0.166515,73.68032437978056
ASASSN-16ct,0.04306,1.47021,36.2457,0.207056,72.73689006062766
MASTERJ0134,0.04369,0.40246,36.2594,0.177777,73.33693369593821
AT2016cvv,0.04438,1.47222,36.5469,0.231201,65.25713468305005
PSNJ1204051,0.04545,1.28783,36.4541,0.196266,69.74845475959351
2005hc,0.04575,0.42521,36.4634,0.173532,69.90879257894224
2005hc,0.04575,0.7928,36.5139,0.151933,68.30174531138033
2008050,0.04625,1.07343,36.2636,0.218105,77.48407271237096
AT2016ews,0.04631,1.0445,36.5394,0.159223,68.33063928902428
2004gu,0.04664,1.42917,36.4713,0.19409,71.00995618518154
2008cf,0.04682,1.32938,36.4786,0.148197,71.04476994709376
2008cf,0.04682,1.28827,36.4857,0.182928,70.8128562823114
PS15aii,0.04777,0.34871,36.5946,0.145385,68.71569513340152
PS17akj,0.04777,1.35352,36.5627,0.208806,69.73261379417852
ATLAS16agv,0.04819,1.32221,36.4976,0.165873,72.48658325557955
1995ac,0.0486,0.7562,36.3303,0.135835,78.95815145212647
PS16dnp,0.05023,0.80899,36.8583,0.163226,63.991734379105566
2007kh,0.05032,0.61284,36.5403,0.453411,74.21664797428312
PS15brr,0.05049,0.69604,36.5461,0.190961,74.26874301515754
PS16fbb,0.05106,0.64076,36.8804,0.16836,64.39045788425159
ASASSN-16hc,0.05151,1.2185,36.5862,0.156832,74.38275380475244
2006ot,0.05202,0.82077,36.8679,0.208308,65.9798085112839
PS16evk,0.05262,1.53705,36.9144,0.207509,65.32682431707619
2006lu,0.05346,0.26916,36.8631,0.133817,67.95628942742556
PS16ayd,0.05469,0.92156,36.8581,0.149593,69.68007770360997
SN2017cpu,0.05502,0.75323,36.6433,0.175423,77.3893660348163
2006py,0.05653,0.1865,36.9098,0.185051,70.32984955304208
2005hj,0.05708,1.61884,36.9903,0.171451,68.42970493867463
2008eq,0.05728,0.50506,37.0687,0.221323,66.23441612340336
SN2016gmb,0.0583,1.1287,36.9545,0.182842,71.05411878519394
2001ah,0.05886,1.326,36.9802,0.215566,70.89260917586186
2001ah,0.05886,1.74513,37.146,0.252804,65.68118214166839
LSQ13crf,0.05974,0.16708,36.3001,0.617516,98.41604793199194
2008bz,0.06099,0.013388,37.1925,0.16057,66.61612035455279
2006oa,0.06153,1.27481,37.0747,0.183316,70.95248622040249
SN2016aqb,0.06384,0.76814,37.0197,0.155855,75.5046295765932
2007ae,0.06533,1.75915,37.0851,0.153034,74.97446253089312
PS15cms,0.06627,1.37281,37.3617,0.203312,66.95726003189513
SN2016ixf,0.06711,0.79391,37.4237,0.194412,65.89734871685866
CSS160129,0.06844,0.68966,37.2381,0.191221,73.19993641290921
PS17yt,0.07073,0.40963,37.4787,0.176182,67.71491864267595
2006on,0.07089,0.95018,37.4543,0.24781,68.63500652094528
470043,0.0709,0.45622,37.7291,0.501827,60.4848959816789
ATLAS16bwu,0.07091,0.10725,37.3712,0.228257,71.33262207602571
PS15bwh,0.07158,0.71915,37.2494,0.16107,76.16095777981838
PS15mt,0.07193,1.6136,37.5618,0.180815,66.27820885142854
Gaia16aki,0.07393,0.59125,37.5535,0.176502,68.38193866602927
7876,0.0752,0.46915,37.4763,0.179761,72.07398640687992
2005ir,0.0752,0.72205,37.5656,0.154994,69.17012229398114
2010hs,0.0756,1.12001,37.8142,0.289148,62.01582113180102
370333,0.07588,0.91969,37.6342,0.198325,67.62511632186074
PS15bif,0.07845,0.31647,37.5715,0.150392,71.96372757867928
Gaia16acv,0.07859,0.56816,37.8315,0.146078,63.95698636167198
17186,0.07875,0.62903,38.0154,0.239252,58.88318125428683
2007hx,0.07875,0.48448,38.0942,0.180119,56.784690806885074
2005ag,0.08009,0.28209,37.6668,0.119289,70.31354536693503
SN2016glp,0.0841,0.96912,37.9686,0.221594,64.25348658126562
SN2016grz,0.08704,0.81158,37.8484,0.21681,70.28450415090306
590194,0.09039,0.27044,37.9202,0.21704,70.61567085767969
300105,0.09205,0.32783,38.1602,0.266341,64.38793482340449
iPTF17dz,0.09293,1.72317,38.2226,0.493293,63.16211151439511
010010,0.0995,0.9091,38.4377,0.194713,61.24967430370756
